OfficeID,Office,RegionalManager,Title,Address1,Address2,Address3,Address4,Telephone
AHM,Ahmedabad,Gandhi,Ms,Iscon Cross Road,S. G. Road,380015,Ahmedabad,917923565
BAN,Bangalore,Gadhia,Ms,205 Old Airport Road,Indiranagar,560008,Bangalore,918023566
CHN,Chennai,Sabarad,Mr,22 Club House Road,,600002,Chennai,914423567
DEL,Delhi,Choudary,Mr,Nelson Mandela Road,Vasant Kunj,110070,New Delhi,911123568
HYD,Hyderabad,Dasgupta,Mr,24 Begumpet,Ameerpet,500016,Hyderabad,914023569
JAL,Jalndhar,Singh,Mr,Windsor Fountain,G. T. Road,140001,Jalandhar,919523570
KOL,Kolkata,Darooka,Mr,15 Jawahar Lal Nehru Road,,700013,Kolkata,913323571
MUM,Mumbai,Gadhiok,Mr,Nariman Point,South Mumbai,400021,Mumbai,912223572
NAG,Nagpur,Aurangabadkar,Ms,Mount Road,Kanptee Road,440001,Nagpur,912123573
PUN,Pune,Salian,Mr,91 Mundhwa,Koregaon Park,411036,Pune,912023574
