Country,Region,Population,Density,Energy,Imports,Exports
Canada,America,30.2,3,11.21,5676,6491
Chile,America,14.7,20,1.45,1121,1130
Denmark,Europe,5.4,126,5.15,8266,9378
Finland,Europe,5.2,17,7.4,5502,7744
France,Europe,58.8,107,5.15,4763,4941
Germany,Europe,82.3,236,5.48,5445,6227
Greece,Europe,10.6,82,3.22,2056,899
Hungary,Europe,10.2,110,3.27,1472,1217
Japan,Asia,125.9,334,4.98,2684,3540
Libya,Africa,5.5,3,3.34,1240,2596
Malaysia,Asia,20.9,64,2.29,3751,3563
Malta,Europe,0.4,1172,1.97,7951,5170
Norway,Europe,4.4,14,7.44,7563,9632
Spain,Europe,39.3,79,3.01,2890,2334
Sweden,Europe,8.9,22,6.79,7299,9051
Taiwan,Asia,21.7,603,2.5,4868,5238
Tanzania,Africa,9.2,59,0.75,886,614
Tunisia,Africa,9.2,59,0.75,886,614
United Kingdom,Europe,58.6,243,5.33,4527,4130
United States,America,268,28,11.39,2929,2222
Australia,Oceania,18.4,2,7.61,3342,2942
Austria,Europe,8.2,99,4.16,8253,7166
Bahamas,West Indies,0.3,28,2.97,4439,5478
Barbados,West Indies,0.3,616,1.58,2946,915
Belgium,Europe,10.2,335,6.86,14702,16078
Botswana,Africa,1.5,3,0.01,1153,1302
Costa Rica,America,3.5,69,0.87,977,811
Croatia,Europe,4.9,86,1.59,1586,969
Cyprus,Europe,0.8,83,3.03,4986,1661
Czech Rep.,Europe,10.5,136,4.97,2450,2099
Estonia,Europe,1.5,34,4.9,1714,1240
Iceland,Europe,0.3,3,6.7,6500,6678
Ireland,Europe,3.6,53,4.31,9237,12469
Israel,Europe,5.9,286,3.26,5337,3436
Italy,Europe,57.8,196,3.95,3562,4038
Jamaica,West Indies,2.6,240,1.66,1089,545
South Korea,Asia,46.1,466,3.77,3013,2788
Luxembourg,Europe,0.4,163.5,12.82,20295,16090
Mauritius,Oceania,1.2,569,0.7,1797,1410
Namibia,Africa,1.7,2,0.01,916,881
Netherlands,Europe,15.9,469,7.22,11419,12680
New Zealand,Oceania,3.7,14,5.47,3951,3882
Panama,America,2.7,37,1.2,955,238
Poland,Europe,38.8,127,3.51,753,593
Portugal,Europe,10.1,110,2.13,3261,2280
Puerto Rico,West Indies,3.8,432,3.07,4300,5900
Singapore,Asia,3.2,5246,9.67,41639,39553
Slovak Rep.,Europe,5.4,112,4.07,1250,1025
Slovenia,Europe,2,99,3.11,4793,4199
South Africa,Africa,42.3,35,2.73,718,653
Swaziland,Africa,1,55,0.01,1090,855
Switzerland,Europe,7.1,180,4.5,10938,11088
