Destination,Code,Trips,Days,Average duration,
,BRA,,,,
,CUB,,,,
,JAM,,,,
,IND,,,,
,MAL,,,,
,TUR,,,,
,USA,,,,
,,,,,
Month,Mcode,Days,,,
January,,,,,
February,,,,,
March,,,,,
April,,,,,
May,,,,,
June,,,,,
July,,,,,
August,,,,,
September,,,,,
October,,,,,
November,,,,,
December,,,,,
,,,,,
Day,Month,Year,DCode,Discount,Duration
27,9,2010,BRA,Y,10
14,8,2010,BRA,N,14
21,8,2010,CUB,N,7
2,8,2010,MAL,Y,10
10,5,2010,MAL,Y,14
27,5,2010,IND,N,21
28,9,2010,USA,N,14
21,4,2010,BRA,N,10
2,12,2010,JAM,Y,14
16,5,2010,BRA,Y,14
18,11,2010,USA,Y,21
4,7,2010,CUB,Y,7
11,3,2010,JAM,N,7
3,4,2010,CUB,Y,14
5,6,2010,TUR,Y,7
3,10,2010,CUB,N,14
1,6,2010,MAL,N,14
19,6,2010,BRA,N,14
23,11,2010,BRA,N,14
5,7,2010,USA,Y,14
1,6,2010,JAM,N,14
23,12,2010,USA,Y,7
21,10,2010,BRA,N,14
14,11,2010,JAM,N,10
1,3,2010,BRA,Y,7
3,1,2010,BRA,Y,14
17,9,2010,TUR,N,14
2,5,2010,USA,N,10
14,8,2010,MAL,Y,7
31,7,2010,MAL,Y,14
7,5,2010,BRA,N,7
15,5,2010,IND,Y,14
17,8,2010,IND,Y,7
21,1,2010,TUR,N,7
29,12,2010,JAM,Y,14
5,11,2010,IND,Y,21
23,11,2010,IND,Y,14
29,9,2010,IND,Y,7
29,10,2010,JAM,N,14
27,10,2010,TUR,Y,7
18,8,2010,JAM,Y,10
28,7,2010,IND,Y,14
3,10,2010,TUR,N,10
19,10,2010,USA,Y,10
19,3,2010,MAL,N,14
4,6,2010,MAL,Y,21
12,4,2010,IND,Y,10
4,11,2010,USA,Y,14
30,5,2010,TUR,N,14
26,9,2010,CUB,N,14
10,4,2010,JAM,Y,14
29,9,2010,BRA,Y,10
26,10,2010,MAL,N,14
7,11,2010,IND,Y,14
7,12,2010,MAL,N,14
14,12,2010,IND,N,7
5,6,2010,MAL,N,10
25,5,2010,CUB,Y,10
14,7,2010,TUR,Y,14
12,2,2010,TUR,Y,14
11,1,2010,IND,Y,7
5,3,2010,IND,N,14
22,7,2010,USA,N,7
23,4,2010,BRA,Y,14
24,12,2010,TUR,Y,14
20,2,2010,MAL,Y,7
4,11,2010,CUB,N,10
19,10,2010,TUR,N,7
13,9,2010,JAM,N,7
17,9,2010,IND,Y,7
29,4,2010,TUR,Y,7
20,2,2010,BRA,N,10
30,11,2010,TUR,Y,7
15,7,2010,IND,Y,7
