Property,Customer,Area Code,Location,Area (sq. ft),Beds,Features,Price,Price/sq. ft,Sales Commission,Cost to Customer
47300002,42,473,,408,1,28th floor,2550000,,,
48400001,43,484,,631,1,,8100000,,,
52300001,45,523,,567,2,,5300000,,,
53100001,46,531,,1732,3,1 ensuite,24000000,,,
47300001,47,473,,1896,3,2 ensuite,23000000,,,
47600003,48,476,,1580,3,1 ensuite,17000000,,,
48800004,49,488,,1135,2,,9000000,,,
53700002,50,537,,1520,3,1 ensuite,17000000,,,
52400003,51,524,,4754,5,"Parking, 2 ensuite",300000000,,,
49300002,52,493,,4180,3,1 ensuite,298000000,,,
49700001,53,497,,1020,3,2 ensuite,7300000,,,
49500002,55,495,,567,2,,5300000,,,
47300002,56,473,,1135,2,,8880000,,,
52600002,57,526,,1520,3,1 ensuite,13500000,,,
52800002,129,528,,768,2,,8500000,,,
52600001,59,526,,1250,2,1 ensuite,11800000,,,
54800001,61,548,,588,2,,4200000,,,
51100001,62,511,,588,2,,4500000,,,
48800002,63,488,,2417,3,1 ensuite,29000000,,,
53700001,64,537,,1524,3,1 ensuite,22000000,,,
52400002,65,524,,2417,3,1 ensuite,28000000,,,
49300001,128,493,,1787,3,1 ensuite,16500000,,,
49700002,68,497,,1600,4,1 ensuite,17200000,,,
50500001,69,505,,1590,3,1 ensuite,17000000,,,
51900003,70,519,,1590,3,1 ensuite,18000000,,,
50900001,71,509,,1590,3,1 ensuite,16500000,,,
50000001,72,500,,2330,4,1 ensuite,35000000,,,
52600003,73,526,,2687,3,1 ensuite,28000000,,,
52600004,75,526,,1595,3,1 ensuite,17000000,,,
52600005,76,526,,3892,4,2 ensuite,30000000,,,
52600006,77,526,,4192,4,2 ensuite,105000000,,,
50400004,78,504,,1600,3,1 ensuite,21000000,,,
52600014,79,526,,1620,3,1 ensuite,18000000,,,
52600008,81,526,,1600,3,1 ensuite,38000000,,,
50400002,127,504,,595,1,,4400000,,,
52600015,83,526,,2000,3,1 ensuite,25000000,,,
52600010,84,526,,567,2,,4500000,,,
51400001,85,514,,1000,1,,12000000,,,
51800001,86,518,,1700,3,1 ensuite,39000000,,,
50700002,88,507,,1590,3,1 ensuite,17000000,,,
47600004,89,476,,1590,3,1 ensuite,18000000,,,
52000002,126,520,,1700,3,1 ensuite,18500000,,,
52300002,91,523,,608,1,,4700000,,,
48000002,92,480,,2790,4,2 ensuite,81460000,,,
52700001,94,527,,1762,3,1 ensuite,28000000,,,
53200002,120,532,,780,2,,7200000,,,
54200002,96,542,,780,1,,8500000,,,
51400002,97,514,,571,2,,4800000,,,
51800002,98,518,,581,1,,6500000,,,
54500001,99,545,,1700,3,1 ensuite,25000000,,,
54300001,101,543,,682,1,,8000000,,,
51300002,102,513,,3174,4,2 ensuite,17000000,,,
54500002,103,545,,571,2,,5000000,,,
54400002,104,544,,5234,5,3 ensuite,180000000,,,
51900002,105,519,,2877,3,1 ensuite,61000000,,,
52000001,107,520,,1787,3,1 ensuite,30000000,,,
53300001,108,533,,604,2,,5400000,,,
52800001,109,528,,1580,3,1 ensuite,57000000,,,
52100002,110,521,,4869,4,3 ensuite,278000000,,,
48600002,111,486,,6400,6,"6 ensuite, garden",950000000,,,
48800005,112,488,,3649,4,2 ensuite,80000000,,,
53000002,114,530,,3206,1,1 ensuite,85000000,,,
52200001,115,522,,953,3,1 ensuite,5500000,,,
47600001,116,476,,2700,3,2 ensuite,38000000,,,
51900005,117,519,,2102,4,1 ensuite,17700000,,,
50900002,118,509,,361,0,studio,3300000,,,
50000002,119,500,,900,2,1 ensuite,10800000,,,
52600011,121,526,,2790,4,2 ensuite,69000000,,,
52600012,122,526,,2380,3,1 ensuite,69000000,,,
52600013,123,526,,2790,4,2 ensuite,60000000,,,
52400001,124,524,,1600,4,2 ensuite,79880000,,,
52200002,125,522,,2390,3,1 ensuite,69210000,,,
54400156,141,544,,2490,4,1 ensuite,70000000,,,
,,,,,,,,,Total Cost:,
