Property Number,Price,Income,Distance,Viewing Cost,Times Viewed,Advertising Cost,Profit
1013,26300,,0,,1,35,
1014,28900,,27,,1,35,
1015,13600,,2,,1,20,
1016,16400,,8,,4,20,
1017,15300,,11,,1,20,
1019,14100,,8,,1,20,
1020,19100,,14,,3,20,
1021,24400,,20,,5,35,
1023,14500,,9,,2,20,
1024,27200,,29,,2,35,
1025,17600,,15,,3,20,
1027,24900,,1,,0,35,
1028,22000,,14,,4,35,
1029,20100,,6,,3,35,
1030,14400,,17,,0,20,
1031,19800,,0,,0,20,
1032,22500,,6,,1,35,
1033,27000,,2,,0,35,
1034,26700,,6,,0,35,
1037,13900,,17,,4,20,
1038,12000,,24,,2,20,
1039,13800,,4,,4,20,
1040,17500,,5,,0,20,
1041,14300,,14,,0,20,
1042,17000,,1,,2,20,
1043,19300,,13,,2,20,
1045,13700,,30,,0,20,
1046,18700,,6,,2,20,
1047,13600,,0,,5,20,
1048,27500,,3,,1,40,
1050,13600,,7,,0,20,
1051,18500,,0,,3,20,
1052,14900,,0,,3,20,
1053,20000,,,,0,35,
1054,16000,,,,1,20,
1055,22000,,,,0,35,
1056,14000,,,,1,20,
,,,,,,,
,,,,,Total Profit,,
