Stock Number,Cost
B0002,199
B0005,217
B0006,708
B0008,347
B0009,996
B0012,995
B0015,100
B0016,300
B0018,450
B0019,400
B0020,110
B0023,180
B0026,520
B0027,190
B0030,243
C0001,2150
C0004,464
C0007,1408
C0009,1300
C0010,1863
C0013,932
C0016,1275
C0017,2000
C0019,208
C0022,2457
C0025,2407
C0027,668
C0029,655
D0001,2305
D0002,799
D0004,1096
D0005,490
H0002,1232
H0005,233
H0006,1240
H0008,394
H0009,2485
H0012,101
H0013,107
H0015,704
H0018,517
H0020,2244
H0022,116
H0024,2339
H0025,564
H0028,854
H0030,1689
H0033,1206
H0035,841
H0036,1917
H0038,2222
H0040,829
H0042,612
H0043,1684
H0044,500
H0046,800
H0047,900
H0049,110
H0050,984
H0053,1500
H0054,1995
H0055,2105
H0058,2204
M0001,199
M0004,488
M0006,1103
M0008,2477
M0010,2099
M0013,1861
M0015,1550
M0018,224
M0021,2247
M0022,1176
M0024,145
M0027,1369
M0028,1859
M0031,224
M0034,2120
M0035,782
M0038,822
M0040,672
R0003,391
R0005,1457
R0007,251
R0010,1831
R0013,2126
R0014,157
R0016,673
R0018,2431
R0021,487
R0024,1457
R0027,1307
R0030,978
R0033,1354
R0034,327
R0037,2305
T0001,192
T0003,2188
T0005,838
T0007,2033
T0009,1303
T0010,1030
T0013,1822
T0016,821
T0019,1582
T0021,2095
U0001,800
X0002,2215
X0005,897
X0007,1508
X0010,2500
X0012,3000
X0015,1200
X0016,1300
X0017,1900
X0019,1800
